scheme_name,Scheme Codes,expense_ratio,risk_level,returns_1yr,returns_3yr,returns_5yr,Sub_Category,NAV,fund_description,embedding_index
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100033,0.27,0.2,4.0,6.5,6.9,FoFs Domestic,791.51,Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth - FoFs Domestic,0
Aditya Birla SL Arbitrage Fund,100034,0.36,0.0,5.6,4.8,5.5,Arbitrage Mutual Funds,122.76,Aditya Birla SL Arbitrage Fund - Arbitrage Mutual Funds,1
Aditya Birla SL Asset Allocator FoF-Dir Growth,100037,0.53,0.4,2.0,18.9,9.7,FoFs Domestic,13.3546,Aditya Birla SL Asset Allocator FoF-Dir Growth - FoFs Domestic,2
Aditya Birla SL Balanced Advantage Fund,100038,0.61,0.5,4.5,18.6,9.7,Dynamic Asset Allocation or Balanced Advantage,121.6639,Aditya Birla SL Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,3
Aditya Birla SL Banking&Financial Services-DirGrowth,100041,1.17,0.5,5.3,24.6,9.2,Sectoral / Thematic Mutual Funds,108.023,Aditya Birla SL Banking&Financial Services-DirGrowth - Sectoral / Thematic Mutual Funds,4
Aditya Birla SL Banking&PSU Debt Fund,100042,0.37,0.2,4.5,6.8,7.3,Banking and PSU Mutual Funds,667.8672,Aditya Birla SL Banking&PSU Debt Fund - Banking and PSU Mutual Funds,5
Aditya Birla SL Corporate Bond Fund,100043,0.31,0.1,4.9,7.1,7.4,Corporate Bond Mutual Funds,685.3699,Aditya Birla SL Corporate Bond Fund - Corporate Bond Mutual Funds,6
Aditya Birla SL Credit Risk Fund,100044,0.69,0.3,8.7,9.0,7.2,Credit Risk Funds,163.694,Aditya Birla SL Credit Risk Fund - Credit Risk Funds,7
Aditya Birla SL Digital India Fund,100046,0.88,0.5,-14.6,39.8,21.1,Sectoral / Thematic Mutual Funds,100.195,Aditya Birla SL Digital India Fund - Sectoral / Thematic Mutual Funds,8
Aditya Birla SL Dividend Yield Fund,100047,1.73,0.5,6.2,30.5,10.0,Dividend Yield Funds,411.5543,Aditya Birla SL Dividend Yield Fund - Dividend Yield Funds,9
Aditya Birla SL Dynamic Bond Fund,100048,0.64,0.2,7.5,8.0,6.0,Dynamic Bond,108.3254,Aditya Birla SL Dynamic Bond Fund - Dynamic Bond,10
